device_type,time,tricep_effort,bicep_effort,joint_position,daq_0,daq_1
E,2076.739748450,10,17,132,-3.26171875,-3.095703125
E,2076.798438494,17,16,132,-3.26171875,-3.14453125
E,2076.847440622,25,16,132,-3.26171875,-3.095703125
E,2076.896443058,33,16,131,-3.26171875,-3.0859375
E,2076.945558404,41,16,131,-3.26171875,-3.095703125
E,2077.024247776,52,17,131,-3.26171875,-3.115234375
E,2077.073250016,61,17,131,-3.26171875,-3.134765625
E,2077.122252228,69,18,130,-3.26171875,-3.154296875
E,2077.171367644,75,21,129,-3.26171875,-3.1640625
E,2077.230057352,83,24,126,-3.26171875,-3.154296875
E,2077.279059592,88,26,123,-3.26171875,-3.125
E,2077.328061580,90,27,120,-3.26171875,-3.125
E,2077.377177206,93,28,117,-3.26171875,-3.10546875
E,2077.435866578,93,29,113,-3.26171875,-3.14453125
E,2077.484868944,91,30,110,-3.26171875,-3.154296875
E,2077.533871184,91,33,106,-3.26171875,-3.154296875
E,2077.582986558,92,36,104,-3.26171875,-3.14453125
E,2077.641676280,90,37,100,-3.26171875,-3.14453125
E,2077.690678198,86,39,99,-3.26171875,-3.154296875
E,2077.739680508,82,40,98,-3.26171875,-3.14453125
E,2077.788796092,80,40,97,-3.26171875,-3.125
E,2077.847485450,82,40,97,-3.26171875,-3.115234375
E,2077.896487732,88,42,97,-3.26171875,-3.115234375
E,2077.945490140,94,46,96,-3.26171875,-3.10546875
E,2078.014605472,100,50,95,-3.26171875,-3.125
E,2078.073294956,100,52,93,-3.26171875,-3.115234375
E,2078.122297112,100,53,92,-3.251953125,-3.076171875
E,2078.171299352,100,56,92,-3.203125,-3.115234375
E,2078.220414726,100,59,91,-3.115234375,-3.076171875
E,2078.279104392,100,63,90,-3.017578125,-3.017578125
E,2078.328106520,100,65,90,-3.017578125,-3.06640625
E,2078.377108886,100,66,89,-3.193359375,-3.037109375
E,2078.426775790,100,69,88,-3.26171875,-2.958984375
E,2078.484913716,100,70,88,-3.26171875,-2.94921875
E,2078.543716418,100,70,87,-3.26171875,-2.978515625
E,2078.592718658,100,73,87,-3.26171875,-3.046875
E,2078.641834074,100,74,87,-3.26171875,-3.056640625
E,2078.700523544,100,76,86,-3.26171875,-3.0859375
E,2078.749525868,100,77,86,-3.26171875,-3.115234375
E,2078.798528136,100,79,86,-3.26171875,-3.115234375
E,2078.847643496,100,82,85,-3.26171875,-3.10546875
E,2078.906333078,100,85,85,-3.26171875,-3.134765625
E,2078.955335164,100,87,84,-3.26171875,-3.115234375
E,2079.024337460,100,88,84,-3.26171875,-3.125
E,2079.073452974,100,87,84,-3.26171875,-3.14453125
E,2079.132142388,100,88,84,-3.26171875,-3.154296875
E,2079.181144684,100,88,84,-3.26171875,-3.125
E,2079.230146798,100,87,84,-3.26171875,-3.10546875
E,2079.279262214,100,88,84,-3.26171875,-3.0859375
E,2079.337951698,100,92,84,-3.26171875,-3.115234375
E,2079.386954120,100,93,84,-3.26171875,-3.095703125
E,2079.435956290,100,91,84,-3.26171875,-3.076171875
E,2079.485071706,100,88,84,-3.26171875,-3.115234375
E,2079.543761288,100,83,84,-3.26171875,-3.076171875
E,2079.592763360,100,78,84,-3.26171875,-3.10546875
E,2079.641765614,100,73,85,-3.26171875,-3.095703125
E,2079.690881128,89,68,85,-3.26171875,-3.115234375
E,2079.749570486,76,60,86,-3.26171875,-3.154296875
E,2079.798572810,68,55,86,-3.2421875,-3.1640625
E,2079.847575330,63,51,87,-3.18359375,-3.14453125
E,2079.896690410,59,48,87,-3.115234375,-3.125
E,2079.955380118,54,42,89,-2.98828125,-3.076171875
E,2080.024382218,50,37,90,-2.939453125,-3.10546875
E,2080.073384402,47,34,92,-3.125,-3.125
E,2080.122499762,44,31,92,-3.232421875,-3.0859375
E,2080.181189330,42,27,93,-3.271484375,-2.998046875
E,2080.230191766,40,25,94,-3.26171875,-2.94921875
E,2080.279193768,36,22,94,-3.26171875,-2.978515625
E,2080.328309408,32,21,95,-3.26171875,-2.98828125
E,2080.386998878,28,23,95,-3.26171875,-3.037109375
E,2080.436001104,25,27,96,-3.26171875,-3.046875
E,2080.485003218,23,32,97,-3.26171875,-3.037109375
E,2080.534670500,21,40,98,-3.26171875,-3.056640625
E,2080.592808272,19,52,98,-3.26171875,-3.115234375
E,2080.641810344,18,61,99,-3.26171875,-3.134765625
E,2080.690812710,17,71,99,-3.26171875,-3.14453125
